STATE_ABBREV,2019,2020,2021,2022,2023
AL,0.2,0.2,0.3,0.3,0.4
AK,0.2,0.2,0.2,0.4,0.5
AZ,0.4,0.5,0.6,0.7,0.7
AR,0.1,0.2,0.8,1.7,1.9
CA,0.5,0.4,0.4,0.6,0.7
CO,0.2,0.2,0.3,0.5,0.6
CT,0.3,0.4,0.4,0.5,0.5
DE,0.2,0.2,0.3,0.4,0.4
DC,0.8,0.9,0.8,1.1,1.2
FL,0.2,0.2,0.2,0.3,0.4
GA,0.1,0.2,0.2,0.2,0.3
HI,0.1,0.1,0.2,0.3,0.4
ID,0.2,0.3,0.3,0.5,0.5
IL,0.2,0.2,0.2,0.3,0.5
IN,0.2,0.3,0.4,0.6,0.8
IA,0.1,0.1,0.2,0.3,0.3
KS,0.2,0.2,0.2,0.3,0.4
KY,0.3,0.4,0.7,1.1,1.3
LA,0.2,0.2,0.2,0.4,0.4
ME,0.3,0.4,0.4,0.5,0.6
MD,0.6,0.7,0.6,0.7,0.8
MA,0.4,0.4,0.4,0.5,0.6
MI,0.2,0.2,0.3,0.5,0.7
MN,0.1,0.2,0.2,0.3,0.3
MS,0.1,0.2,0.2,0.3,0.4
MO,0.2,0.3,0.4,0.6,0.6
MT,0.2,0.2,0.3,0.5,0.5
NE,0.1,0.1,0.2,0.3,0.4
NV,0.3,0.3,0.3,0.5,0.6
NH,0.2,0.2,0.2,0.2,0.3
NJ,0.1,0.4,0.3,0.4,1.2
NM,1.6,1.3,1.2,1.4,1.6
NY,0.1,0.2,0.2,0.4,0.6
NC,0.3,0.4,0.4,0.5,0.6
ND,0.2,0.3,0.3,0.5,0.4
OH,0.4,0.4,0.5,0.7,0.8
OK,0.3,0.3,0.4,0.5,0.6
OR,0.2,0.3,0.4,0.5,0.7
PA,0.4,0.5,0.5,0.6,0.7
RI,0.9,0.9,1.0,1.1,1.4
SC,0.2,0.2,0.7,1.0,1.1
SD,0.1,0.1,0.1,0.2,0.3
TN,0.4,0.4,0.5,1.0,1.2
TX,0.1,0.1,0.1,0.2,0.3
UT,0.2,0.2,0.3,0.5,0.6
VT,0.3,0.4,0.3,0.4,0.4
VA,0.4,0.5,0.5,0.6,0.8
WA,0.3,0.4,0.5,0.7,0.9
WV,0.3,0.5,0.7,0.7,0.9
WI,0.2,0.2,0.3,0.4,0.4
WY,0.2,0.3,1.0,0.5,2.5
