Location,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
United States,12.3,13.2,13.1,13.8,14.7,16.3,19.8,21.7,20.7,21.6,28.3,32.4,32.6,31.3
Alabama,11.8,11.8,12.1,12.7,15.2,15.7,16.2,18.0,16.6,16.3,22.3,30.1,31.5,33.9
Alaska,11.6,14.2,17.4,14.4,16.8,16.0,16.8,20.2,14.6,17.8,22.0,35.6,34.3,49.4
Arizona,17.5,16.9,17.7,18.7,18.2,19.0,20.3,22.2,23.8,26.8,35.8,38.7,37.2,36.1
Arkansas,12.5,12.6,13.1,11.1,12.6,13.8,14.0,15.5,15.7,13.5,19.1,22.3,21.7,17.7
California,10.6,10.7,10.3,11.1,11.1,11.3,11.2,11.7,12.8,15.0,21.8,26.6,26.9,27.9
Colorado,12.7,16.1,15.0,15.5,16.3,15.4,16.6,17.6,16.8,18.0,24.9,31.4,29.8,30.6
Connecticut,10.1,11.2,12.1,16.0,17.6,22.1,27.4,30.9,30.7,34.7,39.1,42.3,40.3,35.2
Delaware,16.6,17.6,15.2,18.7,20.9,22.0,30.8,37.0,43.8,48.0,47.3,54.0,55.3,53.0
District of Columbia,12.9,13.5,12.6,15.0,14.2,18.6,38.8,44.0,35.4,43.2,58.1,63.6,64.3,60.7
Florida,16.4,15.4,13.3,12.6,13.2,16.2,23.7,25.1,22.8,25.5,35.0,37.5,35.2,31.7
Georgia,10.7,10.7,10.6,10.8,11.9,12.7,13.3,14.7,13.2,13.1,18.0,23.5,24.9,23.6
Hawaii,10.9,12.4,11.0,11.0,10.9,11.3,12.8,13.8,14.3,15.9,18.3,17.3,18.6,21.4
Idaho,11.8,12.9,11.9,13.4,13.7,14.2,15.2,14.4,14.6,15.1,15.9,19.0,20.7,20.5
Illinois,10.0,10.9,12.5,12.1,13.1,14.1,18.9,21.6,21.3,21.9,28.1,29.0,30.0,27.3
Indiana,14.4,15.3,16.0,16.6,18.2,19.5,24.0,29.4,25.6,26.6,36.7,43.0,41.0,34.2
Iowa,8.6,8.4,8.7,9.3,8.8,10.3,10.6,11.5,9.6,11.5,14.3,15.3,15.3,14.9
Kansas,9.6,10.1,11.5,12.0,11.7,11.8,11.1,11.8,12.4,14.3,17.4,24.3,26.5,22.8
Kentucky,23.6,25.0,25.0,23.7,24.7,29.9,33.5,37.2,30.9,32.5,49.2,55.6,53.2,48.0
Louisiana,13.2,13.5,12.3,17.8,16.9,19.0,21.8,24.5,25.4,28.3,42.7,55.9,54.5,50.6
Maine,10.4,11.8,11.5,13.2,16.8,21.2,28.7,34.4,27.9,29.9,39.7,47.1,54.3,44.9
Maryland,11.0,11.7,13.7,14.6,17.4,20.9,33.2,36.3,37.2,38.2,44.6,42.8,40.3,39.3
Massachusetts,11.0,12.7,12.7,16.0,19.0,25.7,33.0,31.8,32.8,32.1,33.9,36.8,37.4,33.6
Michigan,13.9,14.3,13.5,15.9,18.0,20.4,24.4,27.8,26.6,24.4,28.6,31.5,30.7,28.9
Minnesota,7.3,9.4,8.9,9.6,9.6,10.6,12.5,13.3,11.5,14.2,19.0,24.5,24.8,23.6
