Location,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
United States,6.8,7.3,7.4,7.9,9.0,10.4,13.3,14.9,14.6,15.5,21.4,24.7,25.0,24.0
Alabama,4.1,3.8,3.6,3.5,5.6,6.1,7.5,9.0,8.3,8.9,13.3,21.2,23.4,25.7
Alaska,8.7,8.7,10.8,9.2,10.6,11.0,12.5,13.9,8.8,10.9,15.2,27.6,25.1,40.1
Arizona,9.9,8.8,8.2,8.2,8.8,10.2,11.4,13.5,15.9,18.4,26.8,28.8,27.4,27.3
Arkansas,6.8,6.2,6.0,5.6,6.3,7.2,5.9,6.5,7.4,7.0,9.9,13.7,13.8,10.9
California,5.0,5.0,4.4,4.9,5.0,4.9,4.9,5.3,5.8,7.9,13.7,17.8,18.4,19.7
Colorado,5.9,8.0,7.7,8.0,9.4,8.7,9.5,10.0,9.5,10.6,16.4,21.7,19.4,21.6
Connecticut,6.3,6.0,5.7,12.3,15.2,19.2,24.5,27.7,27.5,31.7,35.9,38.3,36.8,31.9
Delaware,12.0,12.6,9.2,12.8,13.9,14.8,16.9,27.8,39.3,43.0,43.9,48.1,50.2,47.0
District of Columbia,5.8,8.0,7.3,8.6,9.4,14.5,30.0,34.7,26.7,33.7,45.3,48.9,48.9,49.6
Florida,9.1,8.4,6.9,6.6,7.2,9.4,14.4,16.3,15.8,18.7,26.9,28.9,26.5,23.3
Georgia,5.4,5.4,5.4,5.3,7.0,8.4,8.8,9.7,8.3,8.2,12.4,17.1,18.7,17.5
Hawaii,5.3,5.4,4.5,4.7,3.9,4.1,5.2,3.4,4.1,3.5,5.3,6.1,7.1,9.4
Idaho,5.3,5.1,3.9,4.8,5.0,6.0,7.4,6.2,7.1,7.6,8.9,12.8,14.7,14.4
Illinois,6.8,7.1,8.9,8.3,9.4,10.7,15.3,17.2,17.0,17.5,23.4,23.7,24.9,22.5
Indiana,4.5,5.6,5.9,5.7,7.3,8.5,12.6,18.8,17.5,19.9,29.9,34.2,32.0,26.4
Iowa,5.1,5.9,5.9,6.1,5.3,5.8,6.2,6.9,4.8,5.4,7.6,8.6,7.9,8.4
Kansas,3.8,4.3,6.3,5.7,6.0,5.4,5.1,5.1,5.7,6.7,9.4,15.7,18.2,14.9
Kentucky,14.1,15.8,15.5,15.5,16.8,21.0,23.6,27.9,23.4,24.6,40.2,44.8,41.8,38.1
Louisiana,2.8,2.5,3.7,5.9,5.7,6.3,7.7,9.3,10.0,12.6,21.5,30.5,31.6,26.0
Maine,7.1,6.7,7.9,9.9,13.7,19.3,25.2,29.9,23.4,26.4,34.0,42.4,48.2,39.3
Maryland,8.7,9.1,10.9,12.3,15.0,17.7,29.7,32.2,33.7,34.0,40.4,38.5,35.3,34.1
Massachusetts,8.3,9.9,10.4,13.3,17.0,23.3,29.7,28.2,29.3,28.9,30.6,32.5,33.1,30.0
Michigan,7.0,7.5,7.1,9.4,10.9,13.6,18.5,21.2,20.8,18.5,22.9,26.0,24.9,23.4
Minnesota,4.4,5.3,5.3,5.6,6.0,6.2,7.4,7.8,6.3,7.8,12.5,17.9,18.7,18.1
Mississippi,3.3,2.9,3.9,3.4,3.9,5.3,6.2,6.4,6.1,8.5,14.6,20.3,20.0,18.1
Missouri,10.3,10.2,9.3,10.7,12.0,11.7,15.9,16.5,19.6,18.8,23.8,27.1,27.1,25.0
Montana,6.1,6.8,5.3,7.2,5.4,5.0,4.2,3.6,6.2,7.2,8.6,11.1,12.3,12.0
Nebraska,3.4,2.8,3.0,2.2,3.2,3.1,2.4,3.1,3.3,3.6,5.3,6.0,6.6,4.3
Nevada,15.8,16.5,15.6,13.7,12.7,13.8,13.3,13.3,11.5,11.7,17.8,18.9,20.0,26.5
New Hampshire,8.9,11.5,10.5,11.8,23.4,31.3,35.8,34.0,33.1,29.1,26.9,28.4,32.1,30.2
New Jersey,4.2,5.1,6.8,7.6,8.2,9.8,16.0,22.0,29.7,28.4,28.9,28.6,28.1,25.0
New Mexico,9.5,11.9,16.1,16.0,20.2,17.9,17.5,16.7,16.7,20.0,26.9,37.2,36.5,35.9
New York,5.4,6.8,7.6,8.3,8.6,10.8,15.1,16.1,15.1,14.9,21.8,24.5,26.7,26.2
North Carolina,8.1,8.6,8.6,8.7,10.0,11.9,15.4,19.8,17.9,18.1,26.2,33.3,35.7,28.4
North Dakota,,,,,4.5,4.8,7.6,4.8,5.2,5.9,9.6,10.2,13.4,11.7
Ohio,10.0,11.2,12.3,14.6,19.1,24.7,32.9,39.2,29.6,31.5,40.1,40.1,38.0,34.0
Oklahoma,13.9,13.0,14.2,13.4,13.0,11.2,11.6,10.2,7.8,6.9,8.3,12.1,19.8,21.7
Oregon,8.5,10.1,9.2,7.5,8.3,7.9,7.6,8.1,8.0,7.6,11.9,18.1,22.4,32.1
Pennsylvania,5.1,6.2,6.8,7.8,9.0,11.2,18.5,21.2,23.8,25.1,32.4,32.8,31.8,28.4
Rhode Island,10.5,13.3,13.2,18.1,19.8,23.5,26.7,26.9,25.9,23.3,32.0,35.9,30.7,32.2
South Carolina,5.9,5.3,5.1,5.4,10.7,11.4,13.1,15.5,17.1,17.6,28.6,35.0,36.6,33.4
South Dakota,4.5,4.5,3.1,4.4,4.1,3.5,5.0,4.0,3.5,4.5,5.9,5.7,5.5,5.7
Tennessee,10.0,10.1,11.4,11.9,13.4,16.0,18.1,19.3,19.9,23.4,36.7,45.5,45.3,42.9
Texas,4.4,4.6,4.4,4.0,4.3,4.7,4.9,5.1,4.8,5.1,7.2,9.4,10.6,10.5
Utah,12.8,14.6,16.1,15.9,16.8,15.9,16.4,15.5,14.8,13.3,14.7,14.1,13.5,15.4
Vermont,6.8,9.1,8.6,11.6,11.0,13.4,18.4,20.0,22.8,20.7,27.4,37.4,40.9,38.2
Virginia,4.8,7.1,6.5,7.6,9.1,9.9,13.5,14.8,14.3,15.1,22.7,26.0,24.6,24.1
